station_id,clay_005_015_mean,clay_005_015_stdev,clay_005_015_min,clay_005_015_max
"410730",19.3927116394043,3.46488952636719,11.1510105133057,34.8049240112305
"410731",15.8177299499512,2.66777658462524,8.26668930053711,29.1900539398193
"410734",14.8366146087646,2.19776368141174,6.78237390518188,36.9411010742188
"410705",15.8789558410645,2.5899875164032,8.49736309051514,34.1468124389648
"410761",16.8454914093018,4.09040832519531,5.80650949478149,40.0280685424805
"401009",18.1748142242432,4.10099983215332,8.52143955230713,34.0781364440918
"401012",20.9239540100098,6.00413846969604,6.5829381942749,39.6991233825684
"401013",16.8593349456787,1.97074401378632,9.49650192260742,27.9543685913086
"401015",19.5005931854248,2.50963091850281,9.53338432312012,39.2160110473633
"401016",16.0583152770996,2.03306841850281,10.2464017868042,25.7593154907227
"401017",21.3131713867188,1.79002451896667,14.6350688934326,33.3098793029785
"410024",20.500373840332,2.78244256973267,10.4746513366699,37.3629951477051
"410026",15.6255302429199,2.31454563140869,7.6620020866394,35.5511169433594
"410033",19.2916584014893,4.41980791091919,7.50781202316284,40.0280685424805
"410038",20.841287612915,2.58786821365356,11.0176753997803,38.818229675293
"410044",22.0741729736328,4.44000434875488,9.39973640441895,46.5286750793457
"410047",18.1268482208252,2.58610701560974,9.59163951873779,38.7743644714355
"410057",20.2131080627441,2.68522047996521,10.8779468536377,33.4462394714355
"410061",21.7316932678223,2.76922798156738,11.4650020599365,34.6384735107422
"410062",15.6008043289185,2.64056873321533,8.04991245269775,35.0249824523926
"410088",21.1707878112793,2.79719924926758,11.9790687561035,34.1866188049316
"410091",20.2834053039551,3.95134496688843,8.64159202575684,44.1296997070312
"410141",14.3991861343384,2.33049178123474,7.64090919494629,29.6040267944336
"410156",17.0471229553223,2.15147280693054,10.3828411102295,30.5947036743164
"411003",16.7195339202881,2.56708693504333,10.4269609451294,27.9501152038574
"412028",16.4892578125,2.46589064598083,7.29897594451904,32.6552467346191
"412029",18.8767528533936,3.45642113685608,9.03028392791748,36.4835357666016
"412050",18.1319465637207,2.11880803108215,9.53221416473389,33.0203704833984
"412066",16.2939319610596,2.51718258857727,7.29897594451904,32.6552467346191
"416003",17.3440799713135,2.30812239646912,10.0896492004395,29.417106628418
"416020",38.4643859863281,8.21488285064697,11.4295063018799,54.636287689209
"416023",18.3539123535156,2.85253620147705,9.12569236755371,32.4840393066406
"416032",18.1620635986328,2.80196690559387,9.12569236755371,41.7716178894043
"418005",19.7692317962646,3.5228488445282,12.3059597015381,40.6343078613281
"418014",19.3790016174316,3.09428668022156,10.493953704834,34.6803817749023
"418015",26.0599040985107,5.78626728057861,12.2671346664429,54.2805252075195
"418017",28.8752918243408,6.93502569198608,11.3565225601196,53.3903121948242
"418021",19.7376747131348,4.13206768035889,10.3352146148682,34.3947334289551
"418025",26.2645053863525,3.32866907119751,16.7518997192383,46.5759162902832
"418027",25.3879203796387,5.6199779510498,15.0536136627197,49.5091819763184
"418032",26.9485931396484,6.90884304046631,11.194055557251,59.3612213134766
"419005",19.6252746582031,4.15468454360962,9.87457942962646,43.7588806152344
"419010",22.6452789306641,2.90900826454163,11.3039121627808,33.7548561096191
"419016",20.5413246154785,2.19703435897827,10.8547172546387,39.4802513122559
"419029",21.1964282989502,3.25009346008301,10.5663604736328,42.1694717407227
"419035",24.0665435791016,2.80826258659363,14.48268699646,46.119270324707
"419054",20.4918956756592,1.90970194339752,12.5585842132568,38.1281318664551
"420003",26.9778308868408,6.44852256774902,15.39040184021,48.4590530395508
"420017",26.2284412384033,5.67679500579834,13.2088184356689,52.9515609741211
"421018",23.5254230499268,4.74194240570068,10.7373008728027,46.0097045898438
"421026",17.5150814056396,2.57815718650818,7.88680839538574,39.5421524047852
"421042",26.1156520843506,7.96193981170654,9.33315277099609,55.8233222961426
"421048",22.1172981262207,4.62299680709839,12.2573289871216,39.8816680908203
"421050",21.9117488861084,4.52077674865723,11.1287460327148,40.7683258056641
"421055",23.2913455963135,4.94952583312988,8.48273754119873,44.8837814331055
422202B,27.8593902587891,5.06993627548218,8.78544521331787,60.232307434082
422306A,24.1262092590332,3.00589275360107,15.157919883728,37.0981063842773
422319B,32.1968841552734,9.10500335693359,13.930082321167,54.3408050537109
422321B,24.3420028686523,2.44760942459106,15.7596464157104,35.9574928283691
422334A,39.9307022094727,9.26463031768799,15.1962356567383,56.8661994934082
422338A,22.6370334625244,3.25674986839294,10.5876216888428,44.2949180603027
422394A,22.1854915618896,4.89697217941284,10.1317129135132,47.7452163696289
A4260533,17.8979625701904,2.35232090950012,4.6225323677063,42.5402679443359
"401203",21.8553104400635,6.66805982589722,6.74712467193604,41.3857650756836
"401208",18.9526138305664,2.57544136047363,9.40018558502197,29.6546516418457
"401210",22.8010063171387,3.51397395133972,11.9815692901611,36.6210823059082
"401212",22.380916595459,5.00260019302368,8.92436790466309,38.8554458618164
"401216",26.3348407745361,5.41463565826416,12.7887783050537,39.4025955200195
"401217",20.9637336730957,5.0132622718811,8.73083305358887,37.7855911254883
"401220",19.1098670959473,2.87924337387085,10.3440704345703,32.7468070983887
"402204",19.4648914337158,2.14230918884277,11.5367250442505,32.2452163696289
"402206",23.2646389007568,2.29729890823364,14.6697177886963,31.0134239196777
"402217",18.7572059631348,2.0501401424408,12.931830406189,28.289867401123
"403214",21.8894100189209,3.00614953041077,13.3379945755005,32.3416137695312
"403217",24.5993423461914,2.67932391166687,15.5246496200562,36.1517944335938
"403221",17.9360675811768,2.32003021240234,10.3072261810303,31.1911907196045
"403226",21.7478179931641,2.66788482666016,13.3403911590576,32.2147560119629
"403232",24.3908824920654,2.1816999912262,15.7028121948242,32.2155532836914
"404207",20.6778564453125,3.5053608417511,9.83390522003174,39.0983390808105
"405205",30.0911102294922,4.60194730758667,14.1919832229614,41.220458984375
"405209",28.8732662200928,5.42974853515625,11.5946846008301,45.4282341003418
"405212",18.8579216003418,4.57749843597412,8.55938625335693,45.9314842224121
"405214",22.9138679504395,3.51668238639832,12.4842376708984,35.9645729064941
"405215",23.8637657165527,3.8770923614502,12.857442855835,40.1024284362793
"405217",23.5899620056152,4.33995914459229,13.0327672958374,41.2920188903809
"405219",25.7814655303955,3.36401677131653,12.0559854507446,40.3938636779785
"405226",21.0999011993408,4.17606687545776,9.28064823150635,43.1246490478516
"405227",27.9605388641357,4.14406967163086,12.2224092483521,41.7444076538086
"405228",16.0517597198486,2.68738079071045,8.18165016174316,33.8806419372559
"405229",21.8059959411621,3.62043070793152,14.1137161254883,39.4134101867676
"405230",21.7105083465576,3.9412043094635,12.0616340637207,39.8252487182617
"405231",21.5347213745117,4.65334606170654,9.49134922027588,40.0094757080078
"405238",15.0989570617676,1.99808156490326,9.64790725708008,28.4844245910645
"405240",20.0075225830078,5.72744989395142,9.03102874755859,47.0848274230957
"405241",29.8322525024414,5.82581758499146,8.25240135192871,40.3432197570801
"405245",22.4321765899658,1.79102945327759,13.3484163284302,31.5595455169678
"405248",18.3208961486816,2.42245578765869,9.31042861938477,39.6679267883301
"405251",18.4852123260498,2.19608664512634,11.4335079193115,26.236457824707
"405263",27.3268051147461,2.39454054832458,16.2060356140137,35.0444984436035
"405264",30.0043449401855,3.2337851524353,19.4516830444336,41.7444076538086
"405274",18.4967441558838,2.24637579917908,11.1781635284424,34.5229682922363
"406214",18.6933746337891,3.06748056411743,9.82742786407471,36.334228515625
"406224",24.7523822784424,2.8708291053772,14.1114826202393,39.4786987304688
"406226",17.0264415740967,2.43981671333313,8.33084392547607,35.468921661377
"406235",18.2614517211914,4.67915534973145,8.49941539764404,47.0979652404785
"406250",23.2625217437744,3.10278272628784,15.8759727478027,36.8140525817871
"407214",19.9573554992676,3.35975861549377,9.70815467834473,44.6380424499512
"407253",23.8906898498535,3.69382452964783,11.657811164856,44.7820167541504
"408202",16.7762641906738,2.45148968696594,8.26961040496826,31.3549385070801
"408206",18.4704837799072,3.60426902770996,6.93585681915283,37.7262496948242
"415220",24.5958423614502,7.45470333099365,7.99200487136841,49.5598678588867
"415226",27.6878509521484,6.89040994644165,12.9518995285034,45.3342590332031
"415237",18.8911838531494,2.58836936950684,9.12519264221191,34.5243339538574
"415238",17.1045227050781,3.2246241569519,7.93003845214844,34.3265647888184
"415245",16.8214263916016,3.27825117111206,7.30733966827393,32.7141990661621
