Station_Nu,latitude,longitude,area,DEM_Mean,DEM_Range,Slope,StreamLength,StreamDensity,CatStorage,RegolithDepth,SoilDepth,Clay,KSat,AWC,PAWC,ForestCover,FoliageCover,Igneous,Sedimentary,Metamorphic,SedVolc,OldRock,UnconsolRock,Silica
410730,-35.5917,148.82125,130,1351.27954101562,930.309631347661,11.5576448,0.2780026,0.7689754,0,1.66887223720551,0.864343643188477,25.763288116455094,187.8937225,139.80783653259306,150.78791809082,97.9949653148651,37.96244812011699,61.429657,38.5703506,0,0,0,0,71.4723892211914
410731,-35.574851,149.06625,671.6,1138.36706542969,1124.68615722657,10.6036129,3.9351878,0.6454763,0.0465027,2.08881568908691,0.745160579681396,23.428823328018165,103.5399857,141.8419818878175,108.232246398926,86.5654110908508,26.523742675780994,90.2616806,9.4257669,0.3125268,0,0,0,68.5375747680664
410734,-35.61375,149.3498186,563.7,1087.51135253906,830.851684570312,6.0165858,0.9142387,0.6272095,0.1833038,2.12099075317383,0.729335606098175,24.454717922210694,95.2220535,141.02502489089966,83.8157577514648,89.5177245140076,36.80146789550801,38.7738724,61.2261772,0,0,0,0,71.26366424560547
212209,-34.476507,150.53375,67.4,673.418762207031,313.066650390625,4.0805464,3.6495142,0.6481268,1.7007775,7.710768699646,0.966323912143707,30.422707176208487,198.6301422,142.97131538391096,124.037773132324,100,56.428283691405994,25.2892799,74.7047882,0,0,0,0,65.178802490234375
212260,-33.94734,150.24375,713,901.872680664062,1199.91159057618,10.500864,1.000367,0.8255581,0.0267818,2.51572751998901,0.77704644203186,25.621369171142593,141.4937744,141.04553699493422,99.3206939697266,96.11045122146609,52.706314086914006,20.8774319,72.7121113,0,6.1088891,0,0.3014104,72.58995819091797
215207,-34.8217,150.1833,4660,693.863891601562,1400.54655456543,4.4654427,0.9128297,0.7420399,3.1681583,4.71998643875122,0.829705655574799,26.274871683120733,96.5101929,136.96419715881336,84.0907440185547,86.3745272159576,37.39741516113301,35.411747,50.1928664,0,2.5612946,0,11.8336782,71.02394104003906
216002,-35.4681,150.23625,859,315.777374267578,1117.44818496704,10.6359653,1.2729911,0.8058134,0.3477041,1.54585707187653,0.885625839233398,22.448413705825825,142.6996765,133.99170589447033,135.514923095703,100,75.891372680664,3.4959958,96.5040054,0,0,0,0,73.98821258544922
218001,-36.26465,149.51035,90.6,1054.19689941406,367.507324218745,5.4021931,4.628808,0.7938196,1.2852256,3.58930945396423,0.831953346729279,24.985613489151007,100,141.71046161651614,111.03849029541,99.40007925033571,45.96105957031199,52.9208717,47.0791206,0,0,0,0,68.78433990478516
219001,-36.59315,149.44185,14.4,1037.85205078125,427.087280273435,6.2987785,2.7682824,0.7017229,0,2.00053262710571,0.801463961601257,25.182564496994008,100,142.54547214508048,102.482757568359,100,70.229080200195,96.2054825,3.7945259,0,0,0,0,60.98694610595703
410061,-35.33165,148.06915,146.1,641.997863769531,649.942352294922,6.7759142,1.8590307,0.8670747,0.0426682,3.33912658691406,1.01318180561066,31.844681835174576,174.001709,143.43395805358878,96.2800521850586,76.5799760818481,34.589050292969006,56.3561249,0,43.643856,0,0,0,59.70841598510742
412066,-34.1128,149.5978,1630,895.835205078125,768.307189941401,4.4820433,1.5908242,0.9068342,1.111109,3.84380412101746,0.795543372631073,26.952237367630005,148.2592316,135.24987649917597,134.237258911133,69.32364106178281,25.557647705077997,31.6463089,65.0775223,0,1.7878559,0,1.488366,69.55280303955078
416003,-29.02915,151.72665,552.6,890.68212890625,675.670349121096,4.8385625,7.6369724,0.8977472,2.3654778,2.52786588668823,0.73584920167923,26.254220581054682,119.1534424,137.6126050949097,92.6708602905273,85.0574731826782,29.578689575195,95.6685638,4.3315043,0,0,0,0,70.42053985595703
318076,-41.49375,147.384339,379.8,675.625854492188,1250.51083374023,9.9136581,4.1659789,0.6894805,0.1672696,3.65696668624878,0.931914746761322,32.450877189636245,204.5112915,148.3659377098084,81.5343627929688,97.62762188911441,52.56686401367199,41.8335304,36.4654507,0,0,0,21.7007771,65.3124771118164
307473,-43.14125,145.95,698.6,288.886444091797,1102.17016220093,11.3291445,1.5792687,0.8222989,2.7987394,4.3169903755188,0.818673491477966,44.79941062927243,300,146.52842760086065,145,86.6425335407257,43.80741882324199,0,79.8939066,0,0,65.7889099,20.1061287,66.71602630615234
304499,-42.70695183,146.7105482,210.2,547.109252929688,1191.74249267578,10.9890318,3.1148863,0.6763575,0.7372828,2.17818355560303,0.874357759952545,35.67067575454711,210.9969635,160.8802995681765,106.424011230469,99.5226442813873,61.86289978027301,9.5980358,67.5598335,0,0,4.7926683,22.8421345,64.667449951171875
302214,-41.047088,148.21625,229.9,108.066963195801,445.842926979065,2.6736896,0.9041407,0.7984421,5.2597632,5.74466466903687,0.864518523216248,33.709007453918474,185.8205566,138.34367465972886,112.368156433105,99.6419370174408,55.64205932617199,94.1871338,5.8128918,0,0,0,0,68
305202,-43.07076,147.23674,18.3,392.514709472656,640.599182128906,10.9308681,3.0025539,0.6956312,0,1.7140896320343,0.871568202972412,33.74091472625733,78.6648865,150.0259447097779,68.9907150268555,100,69.777359008789,24.3496418,75.6503525,0,0,0,0,63.49553298950195
314207,-41.25125,146.090026,499.3,554.777404785156,1302.93803405762,8.3587322,8.6973162,0.7270417,0.4729865,5.36439418792725,0.910737693309784,44.07672729492187,242.4849091,160.6169347763061,83.748893737793,97.2486793994904,54.58457946777301,63.8161736,24.5277135,0,0,0,11.6561251,62.051063537597656
314213,-40.8725395,145.2975395,318.5,179.944396972656,536.831363677979,4.206049,3.4172673,0.7674038,0.7992889,6.56094312667847,0.920021593570709,40.94625797271726,130.0881805,145.2973141670227,87.0887603759766,99.6137201786041,66.178451538086,23.1346169,71.7179184,0.611312,0,72.3258209,4.536108,58.72196578979492
221207,-37.44713,148.91375,159.2,693.200500488281,1079.91148376465,11.7555437,0.6329664,0.9762249,0,5.27048683166504,0.995613634586334,29.26786737442016,261.7448425,138.63061046600347,151.814743041992,100,81.254791259766,42.4714966,57.5284309,0,0,0,0,68.57950592041016
221210,-37.41699,149.51949,844.1,480.928375244141,1037.86902618408,6.3800974,1.9759957,0.9197267,0.3781346,2.98019742965698,0.869337797164917,23.641837596893286,117.4888077,135.69633340835554,104.071670532227,99.9689638614655,64.576080322266,62.0948067,37.6453807,0,0,0,0.2597666,70.5678939819336
222206,-37.49458,148.17458,850.2,893.212951660156,1750.85748291015,11.477252,2.9148798,0.8029872,0,2.44584226608276,0.845551192760468,25.06902179718017,239.3253479,137.4036350250246,123.865104675293,87.33462691307071,38.112457275390994,67.6379242,28.2816795,0.3351414,3.3468227,0,0.3983839,69.43867492675781
222213,-36.95423808,148.3267381,361.4,1066.48645019531,1455.91650390625,10.3137293,3.0575061,0.8347464,0.0338024,1.77056205272675,0.882799565792084,25.05362730026245,176.7114105,140.94348096847528,129.655136108398,86.8977069854736,29.22944641113301,87.0752563,12.9247513,0,0,0,0,69.75074768066406
223202,-37.26772,147.72875,899.3,815.232299804688,1274.24041748047,10.4296141,2.6102843,0.8099192,0.0341471,2.18780827522278,0.800102114677429,23.69009222984314,174.8538055,137.1701855659484,107.386100769043,83.44460725784299,29.784576416015994,43.1492729,19.6223297,28.7474422,5.2663555,0,3.2145097,67.73807525634766
224206,-37.40625,147.08875,1100,913.899047851562,1440.37835693359,14.5787096,4.9420061,0.8549826,0,2.6244113445282,0.914356768131256,28.335996437072723,213.93573,137.7941575050354,99.2232055664062,98.9947915077209,45.448425292969006,16.6039677,81.9653168,0,0,0,1.4308527,72.57476806640625
225020A,-37.83322939,146.3542706,9.6,1208.55139160156,679.648925781245,12.69734,4.6187916,0.6541563,0,5.60207033157349,1.03682923316956,35.78398122787475,145.5635529,141.27223157882685,139.019104003906,100,86.95065307617199,100,0,0,0,0,0,68
225110A,-37.68352468,146.3185247,132.1,820.631530761719,878.75207519531,12.3024282,1.0635087,1.0053917,0,2.08527207374573,0.996970534324646,33.49540796279908,243.6026611,138.83916568756086,123.764595031738,100,74.81787109375,0,98.6441498,0,0,0,1.355822,71.541595458984375
225219,-37.5161,146.56625,570.4,1056.38977050781,1441.23822021484,14.8766298,2.7325876,0.8993495,0,2.73540616035461,0.907258272171021,29.80061063766479,221.193222,138.9851446151735,99.7347259521484,99.7337162494659,50.165954589844006,3.6479886,95.7059479,0,0,0,0.6460823,79.10765075683594
226220,-37.866515,146.006515,101.8,536.519958496094,888.199554443362,8.2876606,0.6321881,1.0469208,0,10.1388578414917,1.04350924491882,40.11029186248778,300,154.257905006409,163.291717529297,100,84.101638793945,65.748909,32.3952599,0,0,0,1.8558128,71.53721618652344
226222,-37.88125,145.89301,65.3,481.34814453125,601.285736083984,8.4431057,1.7205617,0.8780687,0,10.9236688613892,1.02371895313263,37.8007360458374,300,142.33192062377915,162.953277587891,100,85.88752746582,100,0,0,0,0,0,73
226407,-38.40743,146.30493,115.9,308.164184570312,412.322914123535,7.8212223,1.6602043,0.8357741,0,5.6851224899292,0.978243052959442,35.5550500869751,299.020874,143.47034454345697,149.865798950195,99.8145580291748,65.80555725097699,10.7187462,89.2812578,0,0,0,0,76.60669708251953
227226,-38.499415,146.160585,129.7,211.597198486328,379.573986053467,6.0124946,2.5817645,0.7121837,0,5.42587900161743,0.978877782821655,38.72901811599729,299.7314758,142.0750737190246,159.816604614258,98.9565551280975,44.00817871093801,12.6851664,87.1414642,0,0,0,0.1734153,76.15208435058594
229661A,-37.63375,145.9268,54.5,708.757263183594,611.625457763668,12.062505700000001,0.6325951,0.9162103,0,5.0979642868042,1.01995193958282,36.82439460754396,300,141.13487672805758,137.647186279297,100,79.815444946289,0.1679543,99.8320465,0,0,0,0,73.0107421875
230210,-37.471805,144.524305,38.7,594.099731445312,250.953063964844,3.6430125,0.7097954,0.9944418,0.1588439,5.91543054580688,0.960456609725952,30.598217678070064,67.5853882,144.8446846008302,151.585708618164,100,62.657409667969006,0.625446,97.7067504,0,0,0,1.6678178,67.6796646118164
231213,-37.49654621,144.36125,152.1,661.963562011719,450.502777099609,6.0449934,3.7297316,0.8908388,0,5.00350284576416,0.992262423038483,30.509397220611557,108.8183441,142.07087039947504,129.717620849609,99.5494186878204,64.18020629882801,4.7150555,93.151779199999993,0,0,0,2.1331882,66.80025482177734
235205,-38.63824,143.44375,4.5,458.883636474609,237.629760742187,7.3114882,8.2514334,0.6012215,0,3.82075762748718,0.913599967956543,40.33946247100831,110.3370819,153.02811670303322,127,100,77.444976806641,0,100,0,0,0,0,80.00000762939453
236213,-37.53112831,143.4663717,448.3,417.667022705078,366.220092773438,1.3683105,2.8760066,0.4918622,25.1944504,6.86670017242432,0.967909514904022,33.70941648483277,34.8727989,141.8349409103396,120.840545654297,43.9654320478439,15.447082519530994,43.0294914,32.557595,0,0,0,24.0831642,59.59394073486328
238208,-37.37375,142.50816,23.3,494.971588134766,765.550354003904,7.8643813,1.8148632,1.0201102,0,5.31981563568115,0.926898896694183,29.21101183891295,297.9354858,153.09825515747056,108.105262756348,70.2457189559937,21.919921875,27.4644222,54.0208702,0,0,0,18.5147762,73.991790771484375
401203,-36.94763174,147.6073683,1519,1096.25756835938,1437.63903808594,9.5750685,1.0675275,0.8073984,0.0081253,2.7260890007019,0.88703465461731,28.074630069732674,205.2043152,138.83990812301641,138.329849243164,72.6629495620728,25.35173034668,20.9509125,3.1639204,73.3769608,0,0,1.7348707,67.7465591430664
401208,-36.21375,147.67782,351.1,686.8564453125,913.35498046875,8.2747698,2.9609811,0.6960871,0,2.15494275093079,1.01170516014099,26.945648860931417,234.624176,135.28544569015534,124.847297668457,98.0543255805969,52.80256652832,75.5990372,1.8720005,12.8926811,0,0,9.6362581,70.38378143310547
401210,-36.56845402,147.413454,415.7,854.701904296875,1643.01202392578,13.8662348,2.3387086,0.7973154,0,1.92228388786316,1.02942538261414,28.505784702301018,248.1107635,135.95075702667242,162.628387451172,98.71200919151309,53.91618347168,20.2495956,34.4111595,44.2430191,0,0,1.0961939,66.94580078125
401212,-36.446035,147.828535,251.6,1079.06127929688,1267.78280639649,13.002229699999999,2.1035223,0.8206111,0,2.21732115745544,0.978468418121338,28.07258987426758,267.5595703,138.36241292953508,176.807205200195,100,51.25199890136699,21.0360298,78.4526138,0,0,0,0.5113202,67.94351959228516
401216,-36.932475,147.472475,356.8,1248.21130371094,1296.00701904297,13.3844833,1.3456444,0.8462049,0,2.19161224365234,0.941525042057037,29.97103958129882,243.1333618,140.11879396438593,158.661819458008,86.131626367569,33.546234130859006,8.4460669,0,90.6348038,0,0,0.9191235,68.32460021972656
401217,-36.75616392,147.7088361,389.8,1031.17700195312,1256.50323486328,11.8401127,2.9389331,0.7683907,0,1.94389832019806,0.981541991233826,27.421013545989975,293.272522,137.88213396072396,176.562973022461,99.2139399051666,39.375259399414006,0.5260413,97.3638916,1.3312491,0,0,0.7788051,67.891387939453125
402204,-36.30375,146.9060831,284.1,506.212921142578,944.629943847659,7.0312614,2.7390423,0.8483083,0.6173103,2.19351172447205,1.03467130661011,28.499103355407712,112.4255905,131.284240245819,126.283744812012,66.1318480968475,27.87198638916,33.032711,33.0083656,24.6927509,0,0,2.7791214,69.4937973022461
402206,-36.540185,147.044815,128.1,631.996887207031,967.101211547849,12.8596783,1.5164844,0.7330733,0,1.52884614467621,1.08992421627045,29.725340938568124,72.0643005,133.36571836471563,170.437774658203,95.33182382583621,51.97668457031199,0,46.4116211,45.9183311,0,0,2.8060384,67.70526123046875
402213,-36.31636,146.89375,123.8,485.147857666016,935.067764282229,7.6628904,1.9049293,0.8870165,0.725283,2.22666358947754,1.03462588787079,28.125644969940176,107.0982285,130.8256559371951,115.568344116211,53.5153448581696,23.915969848632997,51.2499199,7.698843,30.163187,0,0,0,70.550079345703125
403214,-36.57756,146.81994,138,486.133666992188,946.56489562988,8.5774689,1.1595156,0.7490274,0.1349727,3.30376124382019,1.12699913978577,29.404447555542,81.8740158,132.99881029129028,129.582290649414,67.5548315048218,27.717704772949006,26.9976559,33.9915962,2.5888319,0,0,34.1680336,69.35679626464844
403217,-36.824275,146.583225,180.3,658.002502441406,1239.71398925781,12.0418625,1.6241935,0.8392147,0,4.67937850952148,1.08228361606598,32.02667789459227,248.2870331,135.52698087692252,155.661636352539,96.2479829788208,45.160629272460994,12.9894943,84.4761734,0,0,0,2.5343108,70.12578582763672
403221,-36.31125,146.60125,205.5,455.884094238281,670.1845703125,4.5035324,2.1000104,0.9006817,0.2700553,3.21567797660828,0.973389685153961,27.55673408508299,222.1605377,130.63858032226588,129.675750732422,72.2795605659485,20.34602355957,63.3494148,18.6689205,0.015008,0,0,16.795927,70.91358947753906
403222,-36.91068,146.70125,415,768.714538574219,1276.18237304688,14.1697016,3.6035008,0.8499482,0,2.16132593154907,1.03708255290985,30.297681808471694,186.5377502,137.30197715759283,171.845016479492,99.36982989311221,50.456146240234006,8.263217,91.7367935,0,0,0,0,67.51897430419922
403226,-36.60562,146.36188,108.4,462.110168457031,663.360549926757,7.1588683,3.4190116,0.7302882,0.8244576,4.44189167022705,1.04444670677185,30.912959957122826,195.3250122,129.2866382598879,125.901084899902,87.1229887008667,33.78309631347699,43.7665176,40.9091225,0,0,0,15.3243437,67.51557159423828
403232,-36.75154,146.97875,124.1,728.312866210938,927.617218017581,14.977356,3.9068217,0.7753112,0,1.41363847255707,1.06499171257019,29.705314731597902,197.6539154,135.89170169830345,171.228927612305,100,54.063247680664006,0,93.0728455,0,0,0,6.9271712,67.367767333984375
404207,-36.611525,146.059025,448,486.688568115234,958.183074951177,6.4867935,4.0573821,0.7086967,4.121623,7.12819671630859,1.02937507629395,30.162130355834968,213.6536713,130.13217687606806,126.371803283691,82.7830612659454,36.755706787109006,56.2639046,16.0678482,0,0,0,27.66819,65.04960632324219
405205,-37.4138538,145.5638538,105.8,675.224914550781,692.896667480465,9.0821409,1.8220634,0.8432883,0,9.00172328948975,1.0018607378006,37.18363685607908,196.1068726,143.09808444976792,158.107818603516,94.7587072849274,59.970855712890994,94.3050919,5.6949029,0,0,0,0,68.17356872558594
405209,-37.31772866,145.71375,629.4,604.729614257812,1284.2230682373,9.0075197,1.3435156,1.0276332,0.3507791,8.86212539672852,1.02482724189758,36.62075309753419,162.0077972,140.63128709793074,145.683959960938,94.4327831268311,46.02828979492199,41.6291466,35.8064499,0,0,0,22.5643654,67.87299346923828
405215,-37.22964985,146.2071498,374,856.158874511719,1485.44320678711,13.8548489,1.6426988,0.8773918,0,1.7486013174057,0.968408167362213,29.637585163116476,224.3872375,139.7649722099305,167.247817993164,100,55.45947265625,26.2546959,73.3485794,0,0,0,0.3968827,69.5055923461914
405217,-37.38375,145.47319,360.6,452.669158935547,795.221054077145,6.6527328,3.8971825,0.7368135,0.0170114,8.19606018066406,1.02218127250671,34.22775983810425,185.2631989,135.2231478691103,137.770416259766,93.6072051525116,43.98727416992199,7.1770072,84.196434,0,0,0,8.6265717,67.08860778808594
405218,-37.29125,146.1876,364.2,881.514526367188,1411.44778442383,14.5666962,1.1057469,0.9007107,0,1.90760552883148,0.971339225769043,30.07117004394534,221.004303,139.81837892532354,166.239242553711,99.9403953552246,56.978912353515994,15.6702118,84.3134689,0,0,0,0.0163264,72.85414123535156
405219,-37.330415,146.129585,700.2,785.320495605469,1272.24374389649,12.5437698,1.2662867,0.8760216,0,1.65862333774567,0.988674521446228,30.773037815094032,206.3279114,137.3696184158326,158.48681640625,100,55.15977478027301,0.5559286,99.0335312,0,0,0,0.410559,70.82337951660156
405226,-36.621015,145.306485,749.4,204.060546875,419.527488708496,1.8393238,1.6253014,0.857415,29.6545715,23.9375476837158,0.95923113822937,33.17728452682493,63.3547935,127.53308582305894,78.0958938598633,25.582367181777997,7.090705871582003,25.4935112,4.2935658,0,0,0,70.2128677,62.46497344970703
405227,-37.366955,146.056955,626.9,752.27587890625,1165.22485351562,11.1845837,3.6846027,0.9030735,0,3.98889231681824,1.01526319980621,33.835922050476064,256.339325,139.71127367019662,163.673782348633,100,71.460205078125,10.5733557,86.3803329,0,0,0,3.0463488,72.078521728515625
405238,-37.12049,144.85701,164.1,451.021545410156,526.098892211915,4.4304008,1.7001438,0.890491,0.0371781,2.44723463058472,0.922584533691406,26.583549928665157,30,126.41664648056053,58.3547286987305,41.7532235383987,15.482475280762003,99.7261963,0.2738002,0,0,0,0,72.67225646972656
405245,-37.03875,146.05375,115.4,405.399108886719,465.153869628907,3.0701661,1.2889365,1.139389,6.0090661,8.98243808746338,1.03534519672394,32.75477743148804,32.467289,138.3722176551818,86.3101577758789,36.4668309688568,9.069206237792997,0.4403901,63.3803596,0,0,0,36.179245,72.33409881591797
405248,-36.85375,144.9146,287.6,226.657897949219,436.125579833985,2.2940922,1.0232943,1.0841141,8.1456804,5.92757844924927,0.907865285873413,32.74299097061159,30,129.340614795685,123.601287841797,74.83921051025389,24.02660369873,0,74.2947006,0,0,0,25.6020451,67.75269317626953
405251,-36.96886,145.78375,121.8,546.382385253906,682.821380615234,5.6916261,1.8235737,0.6916559,0,3.326815366745,0.954347014427185,29.244000816345224,75.738739,133.7705183029175,108.560409545898,92.5997197628021,43.410232543945,63.7541656,29.9218922,0,0,0,6.323935,72.0599594116211
405264,-37.52125,146.07596,335.4,823.075744628906,1030.00216674804,11.3108311,0.9876019,0.8493441,0,5.04402351379395,1.01230621337891,35.46387214660644,245.3932343,141.4173812866212,174.211990356445,100,77.45622253418,12.34795,83.1532288,0,0,0,4.4988828,71.9870376586914
405274,-37.10625,145.60513,186.7,353.630462646484,461.916778564453,4.9360552,0.5772623,1.0092497,1.173068,3.85212993621826,0.942324757575989,30.377517890930175,59.717308,126.57400321960444,114.791732788086,71.9391286373138,19.542846679687997,8.3499308,63.7392273,0,0,0,27.9108353,68.50337219238281
406208,-37.38787,144.45125,37.6,678.671325683594,141.303649902344,1.9827139,3.493067,0.7786978,0.435122,6.01517057418823,0.991564631462097,31.946414184570322,107.5634537,153.33210468292194,159.243469238281,99.985671043396,58.37324523925801,7.1614957,92.8385086,0,0,0,0,66.467803955078125
406213,-37.01645858,144.5389586,633.8,512.020141601562,783.040954589842,2.9541326,4.5459137,0.8634104,5.339293,4.62908554077148,0.966127872467041,32.24685974121095,59.0592613,142.53152751922616,102.488929748535,56.5346419811249,18.908554077147997,66.3922043,27.3672962,0,0,0,6.2404976,62.36886978149414
406214,-36.77406,144.42844,237,276.513427734375,549.756576538086,2.8965414,0.7123481,0.966838,8.0905628,3.74372458457947,0.883617699146271,32.061244773864765,30,134.113883972168,73.4698486328125,77.3962140083313,21.318771362305,9.537755,84.3550034,0,0,0,6.1072545,67.453704833984375
406224,-36.54625,144.6373,246.3,189.422454833984,285.570556640626,1.05984,4.7246008,0.8787059,24.8375072,11.5923833847046,0.901184439659119,38.75953426361085,51.6320953,123.51991462707488,81.9730606079102,13.0798310041428,5.193374633789006,5.9355636,41.274602,0,0,0,52.7898026,63.57892608642578
407214,-37.29668,143.78875,299.9,458.839691162109,432.579010009765,2.0216517,7.5413833,0.7798271,7.1846023,5.53974008560181,0.966575980186462,33.22432470321654,64.9479752,144.30126333236706,113.846031188965,52.946937084198,20.094062805175994,59.3798447,35.4995147,0,0,0,5.0727701,57.340049743652344
407215,-37.10875,144.05875,1028,416.224151611328,643.105270385742,3.1974535,1.9883789,0.740053,2.0906146,4.06103706359863,0.932692229747772,30.624361371994006,75.051651,138.54694414138785,101.722450256348,87.079131603241,31.857116699219006,14.8680048,70.7471702,0,0,0,14.3849325,64.95023345947266
407230,-37.162125,143.960375,156,400.505645751953,463.472549438477,2.7197444,2.3788493,0.6873347,5.979466,4.68474578857422,0.960509121417999,34.81226291656498,60.7384911,141.36705255508448,100.684417724609,57.6903700828552,21.199981689452997,39.9208488,50.7810516,0,0,0,9.2981253,59.542057037353516
407253,-36.4519,144.4694,652.1,177.789138793945,320.137992858887,0.8139825,9.7571173,0.8339636,31.2345982,11.5572519302368,0.914349257946014,37.561546516418446,30,127.90982484817516,89.7332153320312,58.121240139007604,16.317596435547003,0.119692,64.8884518,0,0,0,34.9917946,64.80134582519531
408200,-36.4379661,143.29875,2677,253.577682495117,643.175216674804,1.7582321,6.1899195,0.877921,22.765192,9.92512702941895,0.887197911739349,34.881489562988286,34.4098015,129.3540143966675,67.7748107910156,37.6428723335266,11.779685974120994,7.7107949,54.5005145,0,0,0,37.7705803,66.34558868408203
408202,-37.18198279,143.4055172,82.6,398.271362304688,509.565734863281,4.4083076,2.8116131,0.8005283,2.2376814,3.21771860122681,0.906791269779205,29.0325695514679,56.0380173,134.27830123901398,83.2690048217773,56.531119346618695,18.748397827147997,19.397953,58.2765236,0,0,0,22.3255291,68.428802490234375
415207,-37.185295000000004,143.184705,304.5,447.938934326172,700.705184936523,5.5975099,2.0860355,0.6845419,1.5958806,3.55552434921265,0.896910846233368,26.727374649047867,77.1522369,133.04310941696158,65.380615234375,71.3787615299225,30.7353515625,14.2562609,59.1578827,0,0,0,26.5858326,68.18929290771484
415237,-37.026325,142.821325,244.2,265.914245605469,315.43815612793,1.8145071,4.6577969,0.9470778,20.032938,8.66985130310059,0.925896942615509,33.45465583801272,34.0619965,131.02752637863153,68.7435607910156,40.6749814748764,10.694709777832003,14.1906424,52.58391759999999,7.8115597,0,0,25.4139175,67.527984619140625
