Number,Smax,Smin,Smean,S,Fwb
410730,142.70775632248638,-1076.8413985217985,-728.9388716377825,1219.5491548442849,1.451162692982755
410731,111.0899928899712,-730.9841384325955,-451.7538397382881,842.0741313225667,1.3484961704642096
410734,69.55225772889446,-763.2631838858251,-418.38116198118587,832.8154416147196,1.2811339959555783
212209,897.8160270701064,-2041.4987585143772,-279.7003288986548,2939.3147855844836,0.9772945413885871
215207,47.34039565034686,-1032.1743952955203,-608.9620884337183,1079.5147909458672,1.1020735182891035
216002,11.469376158529343,-1812.1804188174447,-1160.7070402160505,1823.649794975974,1.341488148784529
218001,37.47803126849436,-748.812750246927,-450.59829658533846,786.2907815154213,0.9831354744133092
219001,113.84462422422621,-1042.2817628304747,-528.4721453608614,1156.126387054701,0.7762019115147087
410061,121.44401107768249,-1431.2532107350253,-811.9847968869874,1552.6972218127078,1.3866188094332175
412066,109.17036200298918,-939.7252904101406,-563.912383934613,1048.8956524131297,1.1045492898943055
416003,361.73688679433053,-343.4378474090736,1.9307366800132755,705.1747342034041,1.1090292928080918
318076,-10.073995954696272,-1149.6325607921044,-698.9944706377454,1139.558564837408,1.231841710215704
304499,127.37162499372789,-500.07688739724745,-183.71725026916496,627.4485123909753,0.9631994690085924
302214,-41.114910200331224,-2142.198104632089,-1291.457783868616,2101.083194431758,1.0283368372903816
305202,76.21543218636737,-820.1288188295257,-467.4874175436643,896.3442510158931,1.2401400583354463
314207,55.84363733418604,-865.1734563438149,-329.69337912266906,921.017093678001,0.9043053155564128
314213,231.61715825998544,-398.7164103488285,-34.403990310383094,630.333568608814,0.8238360324094111
221207,-58.59047802423129,-1300.7281333808514,-745.5965338869141,1242.1376553566201,1.0605201932038064
221210,-6.968903966065909,-1185.6134064197522,-667.7369815683038,1178.6445024536863,1.0768474234929886
222206,35.11368512752483,-1289.9533643116247,-790.4594950109645,1325.0670494391495,1.3328957474455767
222213,72.56827319697243,-1279.7359110340512,-773.1580732199184,1352.3041842310236,1.2701438953027502
223202,89.61705341852678,-1115.1428090205354,-681.5223650765605,1204.759862439062,1.2339172553473003
224206,281.61345642799915,-1469.5416809351827,-878.6981177347994,1751.155137363182,1.1986053106182495
225110A,372.82770991498865,-1279.8118336659609,-620.7789220569505,1652.6395435809495,1.4028770775332602
225219,389.4962062785837,-1219.3188405790406,-678.1775368812389,1608.8150468576243,1.0213109105770801
226220,383.928463585308,-1575.8109103069655,-822.5326594820183,1959.7393738922735,1.6798684143982072
226222,302.92254385925435,-1453.1524632292421,-768.4100036675968,1756.0750070884965,1.4040578132875987
226407,2.5934885236280536,-2317.724383371068,-1152.9025335909141,2320.317871894696,0.8850557249564581
227226,346.73157497186,-448.7826289259465,-13.151159530972773,795.5142038978065,0.9960680570171875
229661A,309.7674334847168,-1969.9191024119755,-1116.8776069171138,2279.6865358966925,1.7279096413554669
230210,188.3468798777658,-1213.284231618205,-562.7599843081894,1401.6311114959708,1.3217739123414467
231213,188.35166445635195,-1356.2084201658581,-686.0617386463924,1544.56008462221,1.315893719574654
235205,-89.44904188744823,-2970.1154878860143,-1917.3535434507046,2880.666445998566,1.2312765878588774
236213,64.72837506946007,-740.9329537500744,-328.7005754726394,805.6613288195344,1.1000756190602676
238208,177.25033038754873,-845.8592246894204,-456.84383422721106,1023.1095550769692,1.1712598203926452
401203,265.85875828097164,-1308.0332783951308,-741.6264689329402,1573.8920366761024,1.397512684631454
401208,320.9473804731848,-1340.9612543074545,-740.0148259785685,1661.9086347806392,1.4724124408065733
401210,144.84937968369582,-2186.304786547469,-1335.0140381184153,2331.1541662311647,1.4471527147358076
401212,176.97196761901546,-1608.1973004710126,-943.1967843666681,1785.169268090028,1.2100279980995365
401216,295.5369452289292,-1662.8852454695862,-988.9836951577096,1958.4221906985154,1.3600047659520598
401217,168.08422024408492,-1544.8978732496107,-921.4503847294025,1712.9820934936956,1.3899853445906643
402204,283.2788891175383,-1904.2360594556048,-1127.8991804690727,2187.514948573143,1.5970825645619888
402206,281.20647404117176,-1993.9657284713867,-1208.8586106051066,2275.172202512558,1.7826134624446868
402213,241.93785735554042,-1858.7917504431734,-1118.8984841778683,2100.729607798714,1.6063226853552373
403214,283.88130241610133,-1687.083188537792,-1033.5062277490522,1970.9644909538933,1.807891393543663
403217,213.0383005925242,-2200.535891563919,-1238.9682485630153,2413.574192156443,1.4144857734039071
403221,212.00679492413775,-1726.2372275282978,-1037.8954333186591,1938.2440224524355,1.4515102097132604
403222,182.32407507375706,-2061.1246922466853,-1314.9596712804544,2243.448767320442,1.454149817843371
403226,197.25632078821764,-1886.844494306897,-1067.5527972377743,2084.1008150951147,1.3706980482384634
403232,176.5599929616169,-2816.5694943949893,-1754.6410797938443,2993.129487356606,1.7351613919741593
404207,196.84204300816657,-1691.5550765159878,-965.9455928772479,1888.3971195241543,1.382849767586088
405205,250.03469348382146,-1179.5446194883625,-627.4306779289492,1429.579312972184,1.3261471134182499
405209,348.1515816213805,-1300.324467828159,-587.5414711899449,1648.4760494495395,1.2993715850718
405215,274.80864203819647,-1583.9231503264873,-1020.253210384375,1858.7317923646838,1.1850970027796857
405217,149.15031426452697,-1013.0068085390467,-572.2344883732763,1162.1571228035737,1.4207736915077829
405218,249.77142481546457,-1192.9313202301419,-712.768975491932,1442.7027450456064,0.9549181394645442
405219,293.19662580987506,-1051.5572091545346,-589.3563976341686,1344.7538349644096,1.1201449758975128
405226,72.41584969458609,-1451.2898199063075,-796.5658942056509,1523.7056696008935,1.1539358294626356
405227,264.1822647578856,-1637.1720430988971,-857.0666389408622,1901.3543078567827,1.3834708499316166
405238,106.86680304507269,-1140.402566316914,-634.6364211118417,1247.2693693619867,1.1663622391878887
405245,166.42125450321328,-1223.3887228868552,-652.9584309734034,1389.8099773900685,1.2896101325364768
405248,86.08291419029496,-1028.2188307938395,-515.8851779256893,1114.3017449841345,1.194994747871383
405251,152.65305336624647,-1811.611633301929,-961.231390256992,1964.2646866681755,1.2885645401400148
405264,308.59931184841093,-1785.6283910008333,-922.1770358101219,2094.2277028492445,1.4705746665696653
405274,82.06841342932836,-1508.5854074065137,-836.798199873875,1590.653820835842,1.1279305898694136
406208,160.28424538820508,-1360.170394261133,-716.8184681400094,1520.454639649338,1.2479612733509795
406213,135.99067181578545,-945.5389556297469,-490.8608925510938,1081.5296274455322,1.214452549483042
406214,72.80435588662914,-1139.6180848797576,-623.2773725869167,1212.4224407663867,1.3312885257351272
407214,142.46870017665742,-812.3948222497493,-346.6639243587541,954.8635224264067,1.086205022538805
407215,134.8049784491884,-818.5886978556209,-386.9268613086127,953.3936763048093,1.2392878358586334
407230,179.38773209626083,-706.3237476281392,-263.8777195403736,885.7114797244001,1.1911866585517328
407253,29.72427076494023,-1292.5241907098416,-724.7205210537952,1322.2484614747818,1.2883566242666629
408202,91.59330463414187,-485.6522205283527,-203.92010584434428,577.2455251624946,1.1290821995030713
415207,134.79283281590597,-515.1971559425856,-209.72081363468428,649.9899887584916,1.2207447203361677
415237,187.60397244701016,-431.0929368336401,-172.76434604802517,618.6969092806503,1.2244287642940808
