station_id,P,AET,PET,Tmax,Tmin,Q
401203,1018.5501850803652,829.1043294736537,1312.140542416737,14.570146051508333,4.69622432413076,256.06302745453917
401208,1098.7243817101198,851.3435813269996,1529.8690261758607,18.51110678282573,6.834860839678743,206.4164091930942
401210,1167.9197851065614,846.5956535088604,1444.584397550287,16.8562231461492,5.916575451340681,433.58580727150814
401212,1084.0648298724386,854.8863153058907,1331.1021293064643,15.184664150513248,4.519297556689047,484.87971536649405
401216,1262.0607989837058,833.2846896325719,1280.6448472795817,13.418217680336888,4.258725425886708,585.2251429739925
401217,1033.69302286358,857.2665649414063,1364.5436693791685,15.526945705878875,4.706892062315495,269.08791677428934
401220,1062.1677494338853,845.6862454518675,1566.011690160324,19.137749065784558,7.255769698449435,148.3907592993054
402204,1007.1544316263361,852.7808326164196,1594.255420947075,19.642371781565114,7.435238109419345,155.37225792528386
402206,1174.0493127378427,843.573421209845,1493.6638666975086,18.690666130146838,6.991201483554559,220.26838167995186
403214,1145.0625237177142,844.4837397647315,1539.8517895764319,19.62664156008307,7.358623259250038,157.04767376311898
403217,1217.1063310221323,829.2848987215552,1453.0735237401107,17.968916630222235,6.826009860623902,282.0347082272376
403221,859.7564068415819,857.8150083844646,1607.7229958863095,20.103590263600104,7.339237950589373,142.19289160033483
403226,1066.1836513509702,828.0073290778902,1534.0994236255515,19.782151674104483,7.412448519896021,211.3734908357039
403232,1340.5965785479843,838.1730485141277,1421.1031984995152,17.72970439467657,6.505595596408356,311.7259753281876
404207,955.8270861472798,810.7465525886108,1543.969655615708,19.345220603269855,7.291624017454168,138.88041628671508
405205,1170.882185658203,756.005203783004,1320.5731365080537,15.978780258521724,7.291055928607474,435.27072503803447
405209,1151.6437553423773,754.733887503427,1343.7197768556662,16.715386466155323,7.264765683937027,417.07676988135046
405212,741.9640350999616,745.8936995803306,1463.415904021263,18.629054490197113,8.155247414257445,69.01864472951723
405214,1024.3921323224665,796.9895783896077,1391.9361369733153,17.370201409234934,6.764398261934961,250.36092642205054
405215,1170.4487868224762,793.2764051150659,1289.055426423303,15.651355790677647,6.046629380610915,417.05241901296836
405217,968.4468165472599,748.9532306204743,1386.988801338755,17.8116484492768,7.923736487624425,214.28153882439724
405219,1226.437486962182,781.1104711193976,1278.8679643113037,15.702438800313656,6.373237402024812,418.29020718518694
405226,617.9476643852701,762.3274412979789,1643.664231195943,20.891036353854084,8.182525234665878,49.22740244609103
405227,1205.4633599421936,766.4296174013152,1281.186922152289,15.755032491222078,6.655169938640286,423.50192238766977
405228,754.8549641711687,770.3807849950157,1515.4627963164758,18.890447875530825,7.546221034943225,110.96372720570021
405229,499.54294641287436,747.5773828593308,1714.8368824629947,21.42101193468078,8.392078282523144,22.2092632893885
405230,501.3271126864744,743.1514039401414,1703.553472749118,21.146421312200864,8.216357774173392,20.152861787492906
405231,1035.4592287339476,757.6908112967579,1366.2270042863386,17.002651375686135,7.739951573727603,173.13627480240055
405238,702.285411612272,757.1186097321582,1481.8477706646097,18.277501147988335,7.536878644570286,79.63059167565517
405240,649.7909706283687,745.9173703050328,1514.1835161768156,19.086461355577413,7.998917070959117,64.44370012491791
405241,1091.7706099771156,763.8210374788478,1281.4856366342513,14.171949058146048,5.981786708285221,804.5432470819011
405245,795.8007772693844,784.2659235292467,1489.7689174068385,19.739805336883354,7.69579647434629,76.40604598538579
405248,532.5753242996002,740.0553180414862,1639.8128562565507,20.538219594352313,8.129146665936192,25.012523121179516
405251,885.685895594447,801.4253619282139,1475.7855857010545,18.346821519515366,7.018402225764691,97.41022118122646
405264,1239.545276503039,765.6932903719103,1244.0339277703185,15.024783773123863,6.386410664138329,458.250606197386
405274,728.4352055714979,772.2717271801341,1511.655759747275,19.661674515690343,7.7179784241812754,97.2548599774199
406214,569.9138146617559,737.8699333618587,1666.6737160534694,20.465992954404538,7.843753474366957,33.077950240070514
406224,497.03237542154363,741.5463642066144,1726.3798722184938,21.354155311696033,8.256555729097071,18.919335197110605
406226,574.1453768653538,747.055517907932,1583.1943403786627,19.771777075435317,7.792750873240851,45.75335435091026
406235,607.2152905402774,751.1252494075206,1540.9500714688465,19.22800854348641,7.595113515674737,61.89521758225285
406250,947.9131515646477,775.9695565107254,1368.7477727199423,16.229752356277366,6.654238479150433,207.4981710643672
407214,676.6021110735968,790.7739308184379,1421.0041316879206,18.04069712447759,7.090719716842904,45.34485508962464
407253,473.36608010702406,721.3888898876223,1752.420572307192,21.502069585079155,8.291289652875085,29.71619068623227
408202,609.5797904756048,761.4602055308056,1504.3555651426316,18.988932843944802,7.348714786192205,39.01095833706932
408206,548.5609982898247,744.618094600766,1579.8369808402554,19.749284629402606,7.686310801550674,26.353113742395646
410033,858.3491516231445,881.5997830156623,1379.7097004619138,15.572450336592492,3.961147236894046,57.93290311548653
410047,784.9452391086862,850.3475580415785,1740.960317591963,21.05863110714429,7.772929733972839,77.8579452256482
410061,1016.1989410904316,887.6247629754246,1623.2465308386704,19.58850891992173,6.793802822419896,187.33172753059452
410088,1134.484939066855,892.0295174251343,1407.7205385142358,15.24134766685597,4.5544436369723424,319.9178395628173
410156,703.0050349644791,823.7348199868135,1803.0931053457589,21.487896297089456,8.330401577034351,64.06159390547963
410705,684.3301436623341,889.1443018050949,1456.224143025793,18.23897024423383,5.4584325494592205,46.059411555733874
410730,1050.1213463683935,889.6086599365391,1371.541896433666,14.338498288662459,3.8876169110221213,274.2367084563899
410731,825.0959295104727,882.077369417096,1411.153864856424,16.153285044037265,4.350624663255873,60.93686861124244
410734,764.6956503851079,889.3242488709695,1367.4117360049281,16.476803494282713,4.423254584199064,63.46492781779762
410761,711.0255652650502,872.5296945325259,1398.11398677086,16.881187405394837,4.301437917837718,48.62974681311746
412029,667.4840555534679,918.640108593579,1667.944466643498,20.9657596819843,7.57042728789675,49.13376737868541
412066,783.1008296748145,952.6402703527747,1460.4627710737032,18.28657428630021,6.410915011880868,73.33958976947922
415237,516.218617089282,716.9626362820504,1562.4017855594898,19.891394976108092,7.792876678867339,21.723977199549722
415238,522.3593567586263,724.3544423245856,1592.910141981059,19.86614057424285,7.726072370184405,24.0529079784359
415245,603.4914308092381,742.4366896374456,1465.44144433038,18.776471079553186,7.189792691571765,31.481509743506273
416003,788.3931500417244,1101.4626542810736,1600.3853601948967,21.229517285468475,8.299530433231405,55.918607849626376
422202B,594.19042390095,962.439257849823,2297.8143796213744,27.478036162698398,12.622982830473495,24.514506998098742
422306A,904.6622077145267,1117.0695700458155,1722.7101948179047,21.9435696929718,10.37835278618288,98.74195541453966
422319B,751.597475056343,1086.879908799457,1774.4757568934867,23.27939899959845,10.676188678802209,66.5819397694138
422321B,1018.55335085875,1123.9692575678744,1629.3709602520382,21.36619173378751,10.128371089839586,251.643017023117
422334A,665.5226509588247,1068.2960265348697,1883.7161593519409,24.28520138756533,11.089477442753273,30.06946080053259
422338A,606.6998981660521,996.3076642595488,2041.8176245656507,25.10446703544274,10.917634963105753,20.332829029138953
422394A,823.8374862307159,1097.6897352478627,1726.0870368595781,22.727077582281396,10.435164412569717,90.36370727070408
A4260533,564.4669928978566,749.5420085026642,1700.6849361896516,20.887519060688057,9.416556728304123,31.45441170789655
